Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/gp/bestsellers/computers/1375466031/ref=sr_bs_3_1375466031_1,Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,₹512,4.0,N/A,Amazon.in Bestsellers: The most popular items in Laptop Messenger & Shoulder Bags,N/A,N/A,N/A
https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ,ADISA Light Weight Laptop Backpack 32 Ltrs,₹499,4.0,N/A,"Amazon.in: Buy ADISA Light Weight Laptop Backpack 32 Ltrs (BP005-NAV_Navy Blue) online at low price in India on Amazon.in. Check out ADISA Light Weight Laptop Backpack 32 Ltrs (BP005-NAV_Navy Blue) reviews, ratings, features, specifications and more at Amazon.in",N/A,N/A,Visit the ADISA Store
https://www.amazon.in/gp/bestsellers/luggage/2917442031/ref=sr_bs_10_2917442031_1,DEIN KLEIDER Men's Nylon Messenger Bag,₹349,4.0,N/A,Amazon.in Bestsellers: The most popular items in Messenger & Sling Bags,N/A,N/A,N/A
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",₹448,4.3,N/A,"Amazon.in: Buy Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue online at low price in India on Amazon.in. Check out Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue reviews, ratings, features, specifications and more at Amazon.in",N/A,N/A,Brand: Wesley
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,399",4.2,N/A,"Buy American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER from Laptop Backpacks at Amazon.in. 30 days free exchange or return",N/A,"A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self",Brand: American Tourister
https://www.amazon.in/Storage-Disposable-Freezer-Feeding-Transparent/dp/B099ZZ57FT,"Luv Lap LuvLap Baby Breast Milk Storage Bags (Pack of 25), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent",₹349,4.4,N/A,"Amazon.in: Buy Luv Lap LuvLap Baby Breast Milk Storage Bags (Pack of 25), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent online at low price in India on Amazon.in. Check out Luv Lap LuvLap Baby Breast Milk Storage Bags (Pack of 25), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent reviews, ratings, specifications and more at Amazon.in. Free Shipping, Cash on Delivery Available.",N/A,"Baby Breast Milk Storage Bags, BPA Free Disposable Milk Freezer Bags for Breast Feeding (Pack of 25 Bags)",Visit the LuvLap Store
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),₹699,3.8,N/A,"Amazon.in: Buy ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey) online at low price in India on Amazon.in. Check out ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey) reviews, ratings, features, specifications and more at Amazon.in",N/A,N/A,Visit the ADISA Store
https://www.amazon.in/gp/bestsellers/electronics/1389022031/ref=sr_bs_7_1389022031_1,"Dyazo Water Resistant Camera Bag/Case Shoulder Strap Space for Photography Lens and Accessories Compatible for Nikon, Canon, Sony, Panasonic, Samsung & Other SLR/DSLR etc (Black & Silver)",₹799,4.3,N/A,Amazon.in Bestsellers: The most popular items in Camera Cases,N/A,N/A,N/A
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,N/A,4.3,N/A,Fur Jaden Black Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel : Amazon.in: Fashion,N/A,"Get your globe-trotting in full swing with this handy duffel bag, while also carrying your basic essentials. The minimalistic design allows the millennial in you to travel anywhere without any hassles. This versatile duffel bag from Fur Jaden can be carried in your hand or on your shoulders using a Shoulder Strap provided with the Bag. Fret not on your escapades as this will bear the wear and tear of persistent use in the long run. This sturdy duffel bag from Fur Jaden can be taken along with you for those business trips or weekend getaway. The minimalistic design of this duffel bag from Fur Jaden enhances the durable looks of it. Making it so sophisticated yet the versatile functionality of it creates an endless list of possibilities to carry about will keep the on-lookers admiring. Pack your stuff and go on a whimsical adventure to complete your bucket list. For those surprise plans, just grab your valuables and essentials and you will be good to go.",Brand: FUR JADEN
https://www.amazon.in/Genie-Clara-Backpack-Women-compartments/dp/B097JJGR1N,"Genie Clara Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.","₹1,279",4.4,N/A,"Buy Genie Clara Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose. from Laptop Backpacks at Amazon.in. 30 days free exchange or return",N/A,"How do you describe a Perfect School Backpack? Spacious enough to carry all the books, yet Light Weight! Padded Laptop Sleeve to keep it secure and sound. Multiple Pockets to segregate all the items and keep it easily accessible. An Organizer to keep your each and every school supplies in an arranged manner. Side Pocket to keep the Water Bottle. Water Resistant exteriors to keep all your worries at bay and lastly, latest and trendy design to keep those ""Cute Bagpack"" compliment coming in! Yes. We have that Perfect Bag for you, in our Genie store. Bringing you a cute, stylish and trendy design, Genie Clara School Bag.",Visit the Genie Store
https://www.amazon.in/Urban-Tribe-Laptop-Backpack-Havana/dp/B01LXNNFDF,"URBAN TRIBE Havana Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Black, 27L",₹939,3.9,N/A,"Buy URBAN TRIBE Havana Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Blue, 27L from Laptop Backpacks at Amazon.in. 30 days free exchange or return",N/A,N/A,Visit the URBAN TRIBE Store
https://www.amazon.in/Urban-Tribe-Laptop-Backpack-Havana/dp/B01LXNNFDF,"URBAN TRIBE Havana Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Black, 27L",₹939,3.9,N/A,"Buy URBAN TRIBE Havana Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Blue, 27L from Laptop Backpacks at Amazon.in. 30 days free exchange or return",N/A,N/A,Visit the URBAN TRIBE Store
https://www.amazon.in/Sfane-Women-Trendy-Black-Duffel/dp/B07GCR84D9,"Sfane Polyester 9.05 Black Men & Women Trendy Black Sports Duffle Gym Bag, Shoulder Bag",₹359,4.2,N/A,"Buy Sfane Polyester 9.05 Black Men & Women Trendy Black Sports Duffle Gym Bag, Shoulder Bag from Sports Duffles at Amazon.in. 30 days free exchange or return",N/A,"Sfane Sports Bag practical everyday sizing make it great for hauling just about anything. Big Compartment holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.",Visit the Sfane Store
https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC,ADISA Laptop Backpack 31 Ltrs,₹499,4.0,N/A,"Amazon.in: Buy ADISA Laptop Backpack 31 Ltrs (BP004-NAV_Navy Blue) online at low price in India on Amazon.in. Check out ADISA Laptop Backpack 31 Ltrs (BP004-NAV_Navy Blue) reviews, ratings, features, specifications and more at Amazon.in",N/A,N/A,Visit the ADISA Store
https://www.amazon.in/Asus-BP1504-15-6-inch-Laptop-Backpack/dp/B0895ZZHKK,Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey),₹819,4.2,N/A,"Amazon.in: Buy Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey) online at low price in India on Amazon.in. Check out Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey) reviews, ratings, features, specifications and more at Amazon.in",N/A,"ASUS BP1504 offers stylish, elegant protection for laptops with displays up to 15.6 inch. Elegant and lightweight Cross-dyed Woven Fabric making for a truly beautiful accessory to any NoteBook laptop.",Visit the ASUS Store
https://www.amazon.in/Genie-compartments-Resistant-Lightweight-Travelling/dp/B0C85YB2S3,"Genie Royale Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch) Black colour",₹899,N/A,N/A,"Buy Genie Royale Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch) Black colour from Laptop Backpacks at Amazon.in. 30 days free exchange or return",N/A,"How do you describe a Perfect Backpack? Spacious enough to carry a lot of stuff, yet Light Weight! Padded Laptop Sleeve to keep it secure and sound. Multiple Pockets to segregate all the items and keep it easily accessible. An Organizer to keep your each and every school supplies in an arranged manner. Side Pocket to keep the Water Bottle. Water Resistant exteriors to keep all your worries at bay and lastly, latest and trendy design to keep those ""Cute Bagpack"" compliment coming in! Yes. We have that Perfect Bag for you, in our Genie store. Bringing you a cute, stylish and trendy design, Genie Royale School Bag.",Visit the Genie Store
